Round Number,Date,Location,Home Team,Away Team
11,03/11/2018 17:30,Emirates Stadium,Arsenal,Liverpool
11,04/11/2018 13:30,Molineux Stadium,Wolves,Tottenham
11,04/11/2018 16:00,Stamford Bridge,Chelsea,Crystal Palace
11,05/11/2018 20:00,John Smith's Stadium,Huddersfield,Fulham
12,10/11/2018 12:30,Cardiff City Stadium,Cardiff,Brighton
12,10/11/2018 15:00,John Smith's Stadium,Huddersfield,West Ham
12,10/11/2018 15:00,King Power Stadium,Leicester,Burnley
12,10/11/2018 15:00,St. James' Park,Newcastle,Bournemouth
12,10/11/2018 15:00,St. Mary's Stadium,Southampton,Watford
12,10/11/2018 17:30,Selhurst Park,Crystal Palace,Tottenham
12,11/11/2018 12:00,Anfield,Liverpool,Fulham
12,11/11/2018 14:15,Stamford Bridge,Chelsea,Everton
12,11/11/2018 16:30,Emirates Stadium,Arsenal,Wolves
12,11/11/2018 16:30,Etihad Stadium,Man City,Man United
13,24/11/2018 15:00,Amex Stadium,Brighton,Leicester
13,24/11/2018 15:00,Goodison Park,Everton,Cardiff
13,24/11/2018 15:00,Craven Cottage,Fulham,Southampton
13,24/11/2018 15:00,Old Trafford,Man United,Crystal Palace
13,24/11/2018 15:00,Vicarage Road,Watford,Liverpool
13,24/11/2018 15:00,London Stadium,West Ham,Man City
13,24/11/2018 17:30,Tottenham Hotspur Stadium,Tottenham,Chelsea
13,25/11/2018 13:30,Vitality Stadium,Bournemouth,Arsenal
13,25/11/2018 16:00,Molineux Stadium,Wolves,Huddersfield
13,26/11/2018 20:00,Turf Moor,Burnley,Newcastle
14,01/12/2018 15:00,Emirates Stadium,Arsenal,Tottenham
14,01/12/2018 15:00,Cardiff City Stadium,Cardiff,Wolves
14,01/12/2018 15:00,Stamford Bridge,Chelsea,Fulham
14,01/12/2018 15:00,Selhurst Park,Crystal Palace,Burnley
14,01/12/2018 15:00,John Smith's Stadium,Huddersfield,Brighton
14,01/12/2018 15:00,King Power Stadium,Leicester,Watford
14,01/12/2018 15:00,Anfield,Liverpool,Everton
14,01/12/2018 15:00,Etihad Stadium,Man City,Bournemouth
14,01/12/2018 15:00,St. James' Park,Newcastle,West Ham
14,01/12/2018 15:00,St. Mary's Stadium,Southampton,Man United
15,04/12/2018 19:45,Vitality Stadium,Bournemouth,Huddersfield
15,04/12/2018 19:45,Amex Stadium,Brighton,Crystal Palace
15,04/12/2018 19:45,Turf Moor,Burnley,Liverpool
15,04/12/2018 19:45,Craven Cottage,Fulham,Leicester
15,04/12/2018 19:45,Vicarage Road,Watford,Man City
15,04/12/2018 19:45,London Stadium,West Ham,Cardiff
15,04/12/2018 19:45,Molineux Stadium,Wolves,Chelsea
15,04/12/2018 20:00,Old Trafford,Man United,Arsenal
15,05/12/2018 19:45,Goodison Park,Everton,Newcastle
15,05/12/2018 20:00,Tottenham Hotspur Stadium,Tottenham,Southampton
16,08/12/2018 15:00,Emirates Stadium,Arsenal,Huddersfield
16,08/12/2018 15:00,Vitality Stadium,Bournemouth,Liverpool
16,08/12/2018 15:00,Turf Moor,Burnley,Brighton
16,08/12/2018 15:00,Cardiff City Stadium,Cardiff,Southampton
16,08/12/2018 15:00,Stamford Bridge,Chelsea,Man City
16,08/12/2018 15:00,Goodison Park,Everton,Watford
16,08/12/2018 15:00,King Power Stadium,Leicester,Tottenham
16,08/12/2018 15:00,Old Trafford,Man United,Fulham
16,08/12/2018 15:00,St. James' Park,Newcastle,Wolves
16,08/12/2018 15:00,London Stadium,West Ham,Crystal Palace
17,15/12/2018 15:00,Amex Stadium,Brighton,Chelsea
17,15/12/2018 15:00,Selhurst Park,Crystal Palace,Leicester
17,15/12/2018 15:00,Craven Cottage,Fulham,West Ham
17,15/12/2018 15:00,John Smith's Stadium,Huddersfield,Newcastle
17,15/12/2018 15:00,Anfield,Liverpool,Man United
17,15/12/2018 15:00,Etihad Stadium,Man City,Everton
17,15/12/2018 15:00,St. Mary's Stadium,Southampton,Arsenal
17,15/12/2018 15:00,Tottenham Hotspur Stadium,Tottenham,Burnley
17,15/12/2018 15:00,Vicarage Road,Watford,Cardiff
17,15/12/2018 15:00,Molineux Stadium,Wolves,Bournemouth
18,22/12/2018 15:00,Emirates Stadium,Arsenal,Burnley
18,22/12/2018 15:00,Vitality Stadium,Bournemouth,Brighton
18,22/12/2018 15:00,Cardiff City Stadium,Cardiff,Man United
18,22/12/2018 15:00,Stamford Bridge,Chelsea,Leicester
18,22/12/2018 15:00,Goodison Park,Everton,Tottenham
18,22/12/2018 15:00,John Smith's Stadium,Huddersfield,Southampton
18,22/12/2018 15:00,Etihad Stadium,Man City,Crystal Palace
18,22/12/2018 15:00,St. James' Park,Newcastle,Fulham
18,22/12/2018 15:00,London Stadium,West Ham,Watford
18,22/12/2018 15:00,Molineux Stadium,Wolves,Liverpool
19,26/12/2018 15:00,Amex Stadium,Brighton,Arsenal
19,26/12/2018 15:00,Turf Moor,Burnley,Everton
19,26/12/2018 15:00,Selhurst Park,Crystal Palace,Cardiff
19,26/12/2018 15:00,Craven Cottage,Fulham,Wolves
19,26/12/2018 15:00,King Power Stadium,Leicester,Man City
19,26/12/2018 15:00,Anfield,Liverpool,Newcastle
19,26/12/2018 15:00,Old Trafford,Man United,Huddersfield
19,26/12/2018 15:00,St. Mary's Stadium,Southampton,West Ham
19,26/12/2018 15:00,Tottenham Hotspur Stadium,Tottenham,Bournemouth
