MatchDate,HomeTeam,AwayTeam,Full Time Home Team Goals,Full Time Away Team Goals,Full Time Result,Half Time Home Team Goals,Half Time Away Team Goals,Half Time Result,Referee,Home Team Shots,Away Team Shots,Home Team Shots on Target,Away Team Shots on Target,Home Team Fouls Committed,Away Team Fouls Committed,Home Team Corners,Away Team Corners,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,Home,Draw,Away
15/09/2002,Man City,Blackburn,2,2,D,0,1,A,M Dean,15,12,7,8,13,13,15,5,3,3,1,0,1.909,3.25,3.5,2.05,3.2,3.3,2.1,3,3.1,2,3.2,3.2,2,3.25,3.25,2.05,3.2,3.4,2.018166667,3.183333333,3.291666667
15/09/2002,Tottenham,West Ham,3,2,H,0,0,D,U Rennie,12,11,3,1,16,16,5,6,2,2,0,1,1.667,3.4,4.5,1.8,3.25,4.35,1.8,3.1,3.8,1.727,3.2,4.333,1.67,3.4,4.5,1.727,3.4,4.5,1.731833333,3.291666667,4.3305
16/09/2002,Birmingham,Aston Villa,3,0,H,1,0,H,D Elleray,12,8,5,1,18,13,9,6,3,2,0,0,2.5,3,2.625,2.55,3.17,2.81,2.5,3,2.5,2.375,3,2.75,2.38,3.2,2.63,2.4,3.2,2.7,2.450833333,3.095,2.669166667
21/09/2002,Arsenal,Bolton,2,1,H,1,0,H,D Pugh,14,8,9,3,12,11,8,1,1,3,0,1,1.2,5.5,10,1.28,5.2,11,1.25,4.5,9,1.2,5,11,1.2,5.5,10,1.222,5.5,11,1.225333333,5.2,10.33333333
21/09/2002,Liverpool,West Brom,2,0,H,0,0,D,D Elleray,23,5,14,2,8,11,9,2,2,2,0,1,1.25,4.5,11,1.32,4.75,9.5,1.3,4.2,8,1.286,4.333,9,1.29,4.5,8.5,1.3,4.5,10,1.291,4.463833333,9.333333333
21/09/2002,Man United,Tottenham,1,0,H,0,0,D,R Styles,16,10,9,5,11,8,10,5,1,1,0,0,1.444,3.75,6.5,1.45,3.9,6.5,1.4,3.9,6,1.5,3.4,6,1.44,3.6,7,1.5,3.6,6.5,1.455666667,3.691666667,6.416666667
21/09/2002,Middlesboro,Birmingham,1,0,H,1,0,H,A D'Urso,9,12,4,3,22,13,6,3,3,4,0,0,1.667,3.4,4.5,1.72,3.3,4.55,1.75,3.2,4,1.667,3.25,4.5,1.73,3.25,4.33,1.727,3.4,4.5,1.710166667,3.3,4.396666667
21/09/2002,Newcastle,Sunderland,2,0,H,2,0,H,M Riley,11,8,6,4,8,15,8,3,2,4,0,0,1.727,3.2,4.5,1.7,3.32,4.6,1.8,3.1,3.8,1.667,3.25,4.5,1.73,3.25,4.33,1.727,3.4,4.5,1.725166667,3.253333333,4.371666667
21/09/2002,Southampton,Charlton,0,0,D,0,0,D,P Dowd,13,6,5,5,24,14,5,3,2,1,0,0,2,3.25,3.25,2.1,3.25,3.45,2.1,3,3.1,1.909,3.25,3.4,2,3.25,3.25,2.1,3.25,3.25,2.034833333,3.208333333,3.283333333
21/09/2002,West Ham,Man City,0,0,D,0,0,D,G Barber,9,8,5,6,12,6,8,4,2,0,0,0,2.1,3.25,3,2.05,3.35,3.2,2,3.1,3.2,2,3.4,3,2.1,3.25,3,2.05,3.2,3.25,2.05,3.258333333,3.108333333
